"dt","dt_iso","timezone","city_name","lat","lon","temp","feels_like","temp_min","temp_max","pressure","sea_level","grnd_level","humidity","wind_speed","wind_deg","rain_1h","rain_3h","snow_1h","snow_3h","clouds_all","weather_id","weather_main","weather_description","weather_icon"
"1593561600","2020-07-01 00:00:00 +0000 UTC","3600","London","51.507351","-0.127758","289.89","287.15","288.468","291.15","1004","0.069183999","","77","5.1","230","","","","","90","804","Clouds","overcast clouds","04n"
"1593565200","2020-07-01 01:00:00 +0000 UTC","3600","London","51.507351","-0.127758","289.27","287.7","287.588","290.37","1004","0.034472304","","82","3.6","230","","","","","90","500","Rain","light rain","10n"
"1593568800","2020-07-01 02:00:00 +0000 UTC","3600","London","51.507351","-0.127758","288.97","285.66","287.257","290.15","1003","0.010961182","","72","2.03","240","","","","","90","804","Clouds","overcast clouds","04n"
"1593572400","2020-07-01 03:00:00 +0000 UTC","3600","London","51.507351","-0.127758","288.33","285.48","287.037","289.26","1003","0.056283484","","77","4.6","240","","","","","75","803","Clouds","broken clouds","04n"
"1593576000","2020-07-01 04:00:00 +0000 UTC","3600","London","51.507351","-0.127758","287.75","285.09","285.93","289.15","1003","0.044712919","","77","4.1","240","","","","","75","803","Clouds","broken clouds","04d"
"1593579600","2020-07-01 05:00:00 +0000 UTC","3600","London","51.507351","-0.127758","287.19","284.3","285.37","289.1","1003","0.056283484","","82","4.6","230","","","","","0","800","Clear","sky is clear","01d"
"1593583200","2020-07-01 06:00:00 +0000 UTC","3600","London","51.507351","-0.127758","288.27","285.12","287.04","289.15","1003","0.056283484","","72","4.6","250","","","","","0","800","Clear","sky is clear","01d"
"1593586800","2020-07-01 07:00:00 +0000 UTC","3600","London","51.507351","-0.127758","289.4","285.91","287.3","290.93","1003","0.069183999","","67","5.1","250","","","","","0","800","Clear","sky is clear","01d"
"1593590400","2020-07-01 08:00:00 +0000 UTC","3600","London","51.507351","-0.127758","291.12","287.05","289.15","292.59","1004","0.102246556","","63","6.2","250","","","","","20","801","Clouds","few clouds","02d"
"1593594000","2020-07-01 09:00:00 +0000 UTC","3600","London","51.507351","-0.127758","291.94","288.44","290.15","293.15","1004","0.0664975","","56","5","240","","","","","40","802","Clouds","scattered clouds","03d"
"1593597600","2020-07-01 10:00:00 +0000 UTC","3600","London","51.507351","-0.127758","292.7","289.39","290.93","294.26","1004","0.0664975","","56","5","240","","","","","75","803","Clouds","broken clouds","04d"
"1593601200","2020-07-01 11:00:00 +0000 UTC","3600","London","51.507351","-0.127758","293.15","289.83","291.15","294.82","1004","0.059761569","","52","4.74","238","","","","","40","802","Clouds","scattered clouds","03d"
"1593604800","2020-07-01 12:00:00 +0000 UTC","3600","London","51.507351","-0.127758","293.13","289.91","291.15","294.82","1004","0.056283484","","52","4.6","250","","","","","75","803","Clouds","broken clouds","04d"
"1593608400","2020-07-01 13:00:00 +0000 UTC","3600","London","51.507351","-0.127758","293.51","290.03","292.04","294.82","1004","0.069183999","","52","5.1","240","","1","","","0","500","Rain","light rain","10d"
"1593612000","2020-07-01 14:00:00 +0000 UTC","3600","London","51.507351","-0.127758","292.79","288.91","290.902","295.15","1005","0.069183999","","49","5.1","260","","0.31","","","100","500","Rain","light rain","10d"
"1593615600","2020-07-01 15:00:00 +0000 UTC","3600","London","51.507351","-0.127758","291.68","288.75","289.82","293.15","1006","0.086420151","","72","5.7","250","","0.31","","","100","500","Rain","light rain","10d"
"1593619200","2020-07-01 16:00:00 +0000 UTC","3600","London","51.507351","-0.127758","291.68","288.75","289.26","293.15","1005","0.086420151","","72","5.7","230","","0.31","","","100","500","Rain","light rain","10d"
"1593622800","2020-07-01 17:00:00 +0000 UTC","3600","London","51.507351","-0.127758","291.89","289.79","289.26","293.71","1006","0.056283484","","72","4.6","230","","","","","0","800","Clear","sky is clear","01d"
